,word,Corr,Err,Acc,RT,zRT,Subtlex_raw_C1,Subtlex_raw_C2,Subtlex_CD_C1,Subtlex_CD_C2,Google_freq_C1,Google_freq_C2,Subtlex_raw_W,Subtlex_CD_W,Google_freq_W,C1_ID,C2_ID,neighborhood_C1,neighborhood_C2,FSC_C1,FSC_C2,homophone_C1,homophone_C2,nomeaning_C1,nomeaning_C2
0,一刀,29,2,0.94,677.79,0.12,604056,4999,6240,1946,34200000,2290000,,,313000,1,25,55,38,0.279151034,0.440801743,1,11,7,5
1,一口,27,5,0.85,698.89,0.24,604056,21385,6240,5406,34200000,2710000,,,792000,1,435,55,83,0.279151034,0.190461532,1,4,7,5
2,一分,32,1,0.97,628.78,-0.23,604056,48396,6240,6077,34200000,11700000,952,675,533000,1,135,55,119,0.279151034,0.241183098,1,45,7,16
3,一切,32,0,1,560.91,-0.61,604056,28202,6240,5640,34200000,1530000,21709,5326,2030000,1,26,55,39,0.279151034,0.306652067,1,7,7,7
4,一心,29,4,0.88,646.34,0.03,604056,83418,6240,6225,34200000,11900000,137,128,452000,1,962,55,154,0.279151034,0.325913782,1,18,7,4
5,一手,28,4,0.88,628.61,-0.27,604056,75608,6240,6186,34200000,9260000,107,97,780000,1,136,55,136,0.279151034,0.311272365,1,21,7,7
6,一斤,29,3,0.91,590.66,-0.36,604056,369,6240,226,34200000,496000,,,152000,1,3211,55,3,0.279151034,0.858155787,1,7,7,2
7,一半,31,2,0.94,576.94,-0.46,604056,10910,6240,4341,34200000,10600000,2633,1673,976000,1,299,55,27,0.279151034,0.276569564,1,3,7,4
8,一旦,28,5,0.85,639.57,-0.23,604056,3661,6240,2154,34200000,442000,2922,1939,670000,1,3365,55,4,0.279151034,0.301401765,1,9,7,3
9,一生,32,0,1,577,-0.57,604056,162725,6240,6237,34200000,10500000,2437,1650,1150000,1,232,55,114,0.279151034,0.277095044,1,10,7,19
10,一共,19,12,0.61,729.32,0.46,604056,7769,6240,3605,34200000,10500000,507,429,478000,1,303,55,20,0.279151034,0.311430263,1,0,7,4
11,一再,30,3,0.91,665.5,0.15,604056,78039,6240,6230,34200000,12200000,68,61,403000,1,304,55,17,0.279151034,0.348182231,1,4,7,7
12,一同,27,5,0.85,736.78,0.44,604056,42995,6240,6029,34200000,11500000,276,229,720000,1,638,55,53,0.279151034,0.265881601,1,41,7,6
13,一向,30,2,0.94,576.53,-0.48,604056,24596,6240,5538,34200000,15300000,510,440,1030000,1,413,55,39,0.279151034,0.280988385,1,8,7,6
14,一早,29,2,0.94,609.1,-0.18,604056,26160,6240,5670,34200000,8450000,326,295,586000,1,399,55,38,0.279151034,0.381343145,1,13,7,4
15,一些,32,1,0.97,544.84,-0.62,604056,113122,6240,6229,34200000,1680000,17133,4907,2080000,1,1951,55,12,0.279151034,0.572020921,1,4,7,3
16,一併,31,2,0.94,692.35,0.24,604056,26283,6240,5393,34200000,824000,27,27,457000,1,1919,55,7,0.279151034,0.390209554,1,4,7,1
17,一來,23,7,0.76,672.74,0.18,604056,377902,6240,6242,34200000,15400000,162,149,483000,1,311,55,62,0.279151034,0.291529592,1,12,7,9
18,一味,22,9,0.7,749.09,0.44,604056,11803,6240,4466,34200000,3290000,10,10,454000,1,813,55,37,0.279151034,0.416611087,1,0,7,5
19,一定,32,1,0.97,559.09,-0.64,604056,81657,6240,6219,34200000,3140000,20273,5274,2690000,1,371,55,97,0.279151034,0.273296683,1,3,7,5
20,一直,33,0,1,525.06,-0.76,604056,46163,6240,6143,34200000,3810000,24551,5731,2720000,1,1605,55,44,0.279151034,0.260614921,1,32,7,9
21,一則,23,7,0.76,725.17,0.48,604056,8312,6240,3735,34200000,9190000,8,8,872000,1,3366,55,15,0.279151034,0.228891146,1,11,7,8
22,一度,30,2,0.94,637.57,-0.05,604056,17384,6240,5042,34200000,11500000,80,76,1700000,1,1753,55,59,0.279151034,0.209180939,1,19,7,11
23,一律,30,2,0.94,614.13,-0.38,604056,12028,6240,3042,34200000,1170000,31,29,538000,1,1614,55,16,0.279151034,0.275721982,1,28,7,4
24,一流,32,1,0.97,550.5,-0.59,604056,11946,6240,4331,34200000,2520000,346,271,589000,1,375,55,79,0.279151034,0.303160044,1,52,7,8
25,一致,33,0,1,577.7,-0.45,604056,6199,6240,3135,34200000,5770000,1087,826,831000,1,1446,55,30,0.279151034,0.260390696,1,39,7,4
26,一面,31,2,0.94,587,-0.41,604056,67015,6240,6200,34200000,3930000,887,663,626000,1,376,55,103,0.279151034,0.265263663,1,4,7,7
27,一旁,21,7,0.76,678.19,0.12,604056,3900,6240,2429,34200000,1190000,129,121,332000,1,861,55,12,0.279151034,0.408789479,1,19,7,4
28,一時,30,3,0.91,645.07,0,604056,162611,6240,6240,34200000,17200000,583,510,621000,1,91,55,95,0.279151034,0.281026504,1,10,7,11
29,一般,30,1,0.97,583.77,-0.56,604056,4611,6240,2632,34200000,1260000,2586,1788,2810000,1,3367,55,4,0.279151034,0.391810849,1,2,7,1
30,一起,32,1,0.97,545.69,-0.74,604056,127575,6240,6238,34200000,12100000,32889,5873,2910000,1,422,55,117,0.279151034,0.184184427,1,15,7,12
31,一陣,32,0,1,595.25,-0.34,604056,2429,6240,1564,34200000,1020000,499,431,644000,1,1154,55,23,0.279151034,0.366454918,1,5,7,3
32,一帶,23,7,0.76,704.96,0.67,604056,45283,6240,6062,34200000,9300000,172,150,958000,1,424,55,53,0.279151034,0.291459395,1,9,7,6
33,一貫,29,2,0.94,674.34,0.15,604056,486,6240,408,34200000,412000,163,150,505000,1,1206,55,7,0.279151034,0.335508186,1,18,7,5
34,一塊,32,1,0.97,563.56,-0.6,604056,11381,6240,3795,34200000,971000,233,194,653000,1,3368,55,11,0.279151034,0.302059655,1,13,7,2
35,一會,30,3,0.91,599.87,-0.37,604056,321488,6240,6242,34200000,33600000,1013,784,444000,1,359,55,87,0.279151034,0.273754745,1,12,7,13
