"Trial","TaskWAV","Selected","Correct","RT","Subj_ID","list","Group","log_RT"
"1","DET_Task_sein-e_Lieblingsmilch.wav","TARGET","1","883","Y1",1,1,6.78332520060396
"2","DET_Task_sein-e_Lieblingsgeige.wav","TARGET","1","1111","Y1",1,1,7.01301578963963
"3","DET_Task_ihr-e_Lieblingsweste.wav","TARGET","1","952","Y1",1,1,6.85856503479136
"4","DET_Task_sein-0_Lieblingspullover.wav","TARGET","1","971","Y1",1,1,6.87832646829133
"5","DET_Task_ihr-0_Lieblingsloeffel.wav","TARGET","1","1256","Y1",1,1,7.13568734702814
"6","DET_Task_ihr-0_Lieblingsapfel.wav","TARGET","1","862","Y1",1,1,6.75925527066369
"7","DET_Task_sein-0_Lieblingsbesen.wav","TARGET","1","517","Y1",1,1,6.24804287450843
"8","DET_Task_ihr-0_Lieblingsguertel.wav","TARGET","1","789","Y1",1,1,6.67076632084587
"9","DET_Task_ihr-0_Lieblingskaese.wav","TARGET","1","546","Y1",1,1,6.30261897574491
"10","DET_Task_sein-e_Lieblingsglocke.wav","TARGET","1","1044","Y1",1,1,6.95081476844258
"11","DET_Task_sein-0_Lieblingsdrachen.wav","TARGET","1","750","Y1",1,1,6.62007320653036
"12","DET_Task_ihr-e_Lieblingsfeder.wav","TARGET","1","833","Y1",1,1,6.72503364216684
"13","DET_Task_ihr-e_Lieblingspizza.wav","TARGET","1","1119","Y1",1,1,7.02019070831193
"14","DET_Task_ihr-0_Lieblingsfaecher.wav","TARGET","1","970","Y1",1,1,6.87729607149743
"15","DET_Task_sein-e_Lieblingswurst.wav","TARGET","1","542","Y1",1,1,6.29526600143965
"16","DET_Task_sein-0_Lieblingstisch.wav","Possessee_comp","0","606","Y1",1,1,6.40687998606931
"17","DET_Task_ihr-e_Lieblingsangel.wav","TARGET","1","1729","Y1",1,1,7.45529848568329
"18","DET_Task_ihr-e_Lieblingssaege.wav","TARGET","1","1207","Y1",1,1,7.09589322109753
"19","DET_Task_sein-e_Lieblingsharfe.wav","TARGET","1","931","Y1",1,1,6.83625927727707
"20","DET_Task_ihr-0_Lieblingsteller.wav","TARGET","1","599","Y1",1,1,6.39526159811545
"21","DET_Task_ihr-e_Lieblingskuh.wav","TARGET","1","1336","Y1",1,1,7.19743535409659
"22","DET_Task_ihr-0_Lieblingsroboter.wav","TARGET","1","529","Y1",1,1,6.2709884318583
"23","DET_Task_sein-e_Lieblingskirsche.wav","TARGET","1","1090","Y1",1,1,6.99393297522319
"24","DET_Task_sein-e_Lieblingskette.wav","TARGET","1","898","Y1",1,1,6.8001700683022
"25","DET_Task_ihr-e_Lieblingsschere.wav","TARGET","1","760","Y1",1,1,6.63331843328038
"26","DET_Task_sein-e_Lieblingsavocado.wav","Possessor_comp","0","823","Y1",1,1,6.71295620067707
"27","DET_Task_ihr-e_Lieblingszwiebel.wav","TARGET","1","1491","Y1",1,1,7.30720231476474
"28","DET_Task_sein-e_Lieblingsfeder.wav","TARGET","1","1761","Y1",1,1,7.47363710849621
"29","DET_Task_sein-0_Lieblingsschlitten.wav","TARGET","1","927","Y1",1,1,6.83195356556585
"30","DET_Task_ihr-e_Lieblingsbrille.wav","TARGET","1","755","Y1",1,1,6.62671774924902
"31","DET_Task_sein-0_Lieblingskegel.wav","TARGET","1","480","Y1",1,1,6.17378610390194
"32","DET_Task_ihr-e_Lieblingswurst.wav","TARGET","1","767","Y1",1,1,6.64248680136726
"33","DET_Task_sein-e_Lieblingsschuerze.wav","TARGET","1","807","Y1",1,1,6.69332366826995
"34","DET_Task_ihr-0_Lieblingstisch.wav","TARGET","1","683","Y1",1,1,6.52649485957079
"35","DET_Task_ihr-0_Lieblingsdelfin.wav","TARGET","1","1151","Y1",1,1,7.04838640872188
"36","DET_Task_sein-0_Lieblingsnagel.wav","TARGET","1","578","Y1",1,1,6.35957386867238
"37","DET_Task_ihr-0_Lieblingstrichter.wav","TARGET","1","452","Y1",1,1,6.11368217983223
"38","DET_Task_ihr-e_Lieblingskerze.wav","Possessee_comp","0","754","Y1",1,1,6.62539236800796
"39","DET_Task_ihr-0_Lieblingstoaster.wav","TARGET","1","903","Y1",1,1,6.80572255341699
"40","DET_Task_sein-e_Lieblingstrommel.wav","TARGET","1","1113","Y1",1,1,7.01481435127554
"41","DET_Task_sein-0_Lieblingskoffer.wav","TARGET","1","855","Y1",1,1,6.75110146893676
"42","DET_Task_ihr-0_Lieblingskalender.wav","TARGET","1","592","Y1",1,1,6.38350663488401
"43","DET_Task_sein-0_Lieblingskaese.wav","TARGET","1","801","Y1",1,1,6.68586094706836
"44","DET_Task_ihr-0_Lieblingshut.wav","TARGET","1","1092","Y1",1,1,6.99576615630485
"45","DET_Task_ihr-e_Lieblingsmaus.wav","TARGET","1","1124","Y1",1,1,7.02464903045364
"46","DET_Task_ihr-e_Lieblingsavocado.wav","TARGET","1","1614","Y1",1,1,7.38647084882989
"47","DET_Task_sein-0_Lieblingsring.wav","TARGET","1","893","Y1",1,1,6.7945865808765
"48","DET_Task_sein-e_Lieblingszwiebel.wav","TARGET","1","1291","Y1",1,1,7.16317239084664
"49","DET_Task_sein-0_Lieblingsapfel.wav","TARGET","1","724","Y1",1,1,6.58479139238572
"50","DET_Task_ihr-0_Lieblingshonig.wav","TARGET","1","869","Y1",1,1,6.76734312526539
"51","DET_Task_ihr-e_Lieblingskatze.wav","TARGET","1","909","Y1",1,1,6.81234509417748
"52","DET_Task_sein-0_Lieblingstraktor.wav","TARGET","1","384","Y1",1,1,5.95064255258773
"54","DET_Task_ihr-0_Lieblingsknoten.wav","TARGET","1","553","Y1",1,1,6.31535800152233
"55","DET_Task_sein-e_Lieblingstreppe.wav","TARGET","1","1002","Y1",1,1,6.90975328164481
"56","DET_Task_sein-0_Lieblingsguertel.wav","TARGET","1","237","Y1",1,1,5.46806014113513
"57","DET_Task_ihr-e_Lieblingssaeule.wav","TARGET","1","1114","Y1",1,1,7.01571242048723
"58","DET_Task_sein-0_Lieblingswuerfel.wav","TARGET","1","474","Y1",1,1,6.16120732169508
"59","DET_Task_sein-0_Lieblingsspiegel.wav","TARGET","1","478","Y1",1,1,6.16961073249146
"60","DET_Task_ihr-e_Lieblingsgeige.wav","TARGET","1","1142","Y1",1,1,7.04053639021596
"61","DET_Task_sein-0_Lieblingsroboter.wav","TARGET","1","329","Y1",1,1,5.79605775076537
"62","DET_Task_sein-e_Lieblingslampe.wav","TARGET","1","971","Y1",1,1,6.87832646829133
"63","DET_Task_sein-e_Lieblingstasse.wav","Possessor_comp","0","755","Y1",1,1,6.62671774924902
